artist,song,year,decade
Nina Sky,Move Ya Body,2004,2000s
Kevin Lyttle,Turn Me On,2004,2000s
Houston,I Like That,2004,2000s
Terror Squad,Lean Back,2004,2000s
Los Lonely Boys,Heaven,2004,2000s
O-Zone,Dragostea Din Tei,2004,2000s
Modest Mouse,Float On,2004,2000s
Franz Ferdinand,Take Me Out,2004,2000s
Bowling for Soup,1985,2004,2000s
Rupee,Tempted to Touch,2004,2000s
Seether ft. Amy Lee,Broken,2004,2000s
Josh Gracin,Nothin' To Lose,2005,2000s
Trillville,Some Cut,2005,2000s
Caesars,Jerk It Out,2005,2000s
Amerie,1 Thing,2005,2000s
Brooke Valentine,Girlfight,2005,2000s
System of a Down,B.Y.O.B.,2005,2000s
Howie Day,Collide,2005,2000s
Bo Bice,Inside Your Heaven,2005,2000s
Natalie,Goin' Crazy,2005,2000s
Papa Roach,Scars,2005,2000s
D.H.T.,Listen to Your Heart,2005,2000s
The Click Five,Just the Girl,2005,2000s
Crazy Frog,Axel F,2005,2000s
Rent,Seasons of Love,2005,2000s
D4L,Laffy Taffy,2006,2000s
James Blunt,You're Beautiful,2006,2000s
Daniel Powter,Bad Day,2006,2000s
Nick Lachey,What's Left of Me,2006,2000s
Teddy Geiger,For You I Will (Confidence),2006,2000s
Saving Jane,Girl Next Door,2006,2000s
Chamillionaire,Ridin',2006,2000s
Fort Minor ft. Holly Brook,Where'd You Go,2006,2000s
AFI,Miss Murder,2006,2000s
The Wreckers,Leave the Pieces,2006,2000s
Taylor Hicks,Do I Make You Proud,2006,2000s
Paris Hilton,Stars Are Blind,2006,2000s
Gnarls Barkley,Crazy,2006,2000s
Cassie,Me & U,2006,2000s
Young Dro,Shoulder Lean,2006,2000s
Brooke Hogan,About Us,2006,2000s
Cherish ft. Sean P,Do It to It,2006,2000s
The Pack,Vans,2006,2000s
Corinne Bailey Rae,Put Your Records On,2006,2000s
Peter Bjorn and John,Young Folks,2006,2000s
Hinder,Lips of an Angel,2006,2000s
Snow Patrol,Chasing Cars,2006,2000s
Jibbs,Chain Hang Low,2006,2000s
DJ Webstar and Young B.,Chicken Noodle Soup,2006,2000s
Heartland,I Loved Her First,2006,2000s
Mario Vazquez,Gallery,2006,2000s
Corbin Bleu,Push It to the Limit,2007,2000s
Hellogoodbye,Here (In Your Arms),2007,2000s
Augustana,Boston,2007,2000s
Mims,This Is Why I'm Hot,2007,2000s
Rich Boy,Throw Some D's,2007,2000s
Baby Boy da Prince,The Way I Live,2007,2000s
The Red Jumpsuit Apparatus,Face Down,2007,2000s
Huey,"Pop, Lock & Drop It",2007,2000s
Shop Boyz,Party Like a Rockstar,2007,2000s
Amy Winehouse,Rehab,2007,2000s
Down AKA Kilo,Lean like a Cholo,2007,2000s
Plain White T's,Hey There Delilah,2007,2000s
Hurricane Chris,A Bay Bay,2007,2000s
Aly & AJ,Potential Breakup Song,2007,2000s
Cupid,Cupid Shuffle,2007,2000s
Elliott Yamin,Wait For You,2007,2000s
Kat DeLuna,Whine Up,2007,2000s
J. Holiday,Bed,2007,2000s
Feist,1234,2007,2000s
Playaz Circle,Duffle Bag Boy,2007,2000s
Niia,Sweetest Girl (Dollar Bill),2008,2000s
Yael Naim,New Soul,2008,2000s
Buckcherry,Sorry,2008,2000s
2 Pistols,She Got It,2008,2000s
James Otto,Just Got Started Lovin' You,2008,2000s
Colby O'Donis,What You Got,2008,2000s
Duffy,Mercy,2008,2000s
Metro Station,Shake It,2008,2000s
V.I.C.,Get Silly,2008,2000s
Flobots,Handlebars,2008,2000s
Shwayze,Corona and Lime,2008,2000s
Hit Masters,All Summer Long,2008,2000s
Estelle,American Boy,2008,2000s
The Rock Heroes,All Summer Long,2008,2000s
Saving Abel,Addicted,2008,2000s
The Veronicas,Untouched,2009,2000s
A. R. Rahman,Jai Ho! (You Are My Destiny),2009,2000s
GS Boyz,Stanky Legg,2009,2000s
Asher Roth,I Love College,2009,2000s
Kristinia DeBarge,Goodbye,2009,2000s
The Ting Tings,That's Not My Name,2009,2000s
Dorrough,Ice Cream Paint Job,2009,2000s
Muse,Uprising,2009,2000s
Michael Franti & Spearhead,Say Hey (I Love You),2009,2000s
Ester Dean,Drop It Low,2009,2000s
Iyaz,Replay,2010,2010s
Orianthi,According To You,2010,2010s
Spose,I'm Awesome,2010,2010s
Travie McCoy,Billionaire,2010,2010s
La Roux,Bulletproof,2010,2010s
Freshlyground,Waka Waka (This Time for Africa),2010,2010s
Jaron and the Long Road to Love,Pray for You,2010,2010s
Cali Swag District,Teach Me How to Dougie,2010,2010s
The Cataracs,Like a G6,2010,2010s
The Ready Set,Love Like Woe,2010,2010s
Yolanda Be Cool and DCUP,We No Speak Americano,2010,2010s
Willow,Whip My Hair,2010,2010s
Edward Maya and Vika Jigulina,Stereo Love,2011,2010s
Rebecca Black,Friday,2011,2010s
Tinie Tempah ft. Eric Turner,Written in the Stars,2011,2010s
Duck Sauce,Barbra Streisand,2011,2010s
Hot Chelle Rae,Tonight Tonight,2011,2010s
Foster the People,Pumped Up Kicks,2011,2010s
Kreayshawn,Gucci Gucci,2011,2010s
Dev,In the Dark,2011,2010s
Alexandra Stan,Mr. Saxobeat,2011,2010s
The Wanted,Glad You Came,2012,2010s
Gotye ft. Kimbra,Somebody That I Used to Know,2012,2010s
Outasight,Tonight is the Night,2012,2010s
Kirko Bangz,Drank in My Cup,2012,2010s
Karmin,Brokenhearted,2012,2010s
Grouplove,Tongue Tied,2012,2010s
Ca$h Out,Cashin' Out,2012,2010s
Love and Theft,Angel Eyes,2012,2010s
Gloriana,(Kissed You) Good Night,2012,2010s
Alex Clare,Too Close,2012,2010s
The Lumineers,Ho Hey,2012,2010s
Of Monsters and Men,Little Talks,2013,2010s
Trinidad James,All Gold Everything,2013,2010s
Baauer,Harlem Shake,2013,2010s
Mikky Ekko,Stay,2013,2010s
Icona Pop,I Love It,2013,2010s
Zach Sobiech,Clouds,2013,2010s
The Finatticz,Don't Drop That Thun Thun,2013,2010s
Anna Kendrick,Cups,2013,2010s
Foxes,Clarity,2013,2010s
Capital Cities,Safe and Sound,2013,2010s
Awolnation,Sail,2013,2010s
Ylvis,The Fox (What Does the Fox Say?),2013,2010s
Alison Gold,Chinese Food,2013,2010s
A Great Big World,Say Something,2013,2010s
The Neighbourhood,Sweater Weather,2013,2010s
Passenger,Let Her Go,2014,2010s
Bastille,Pompeii,2014,2010s
Soko,We Might Be Dead By Tomorrow,2014,2010s
American Authors,Best Day of My Life,2014,2010s
Rixton,Me and My Broken Heart,2014,2010s
Nico & Vinz,Am I Wrong,2014,2010s
MKTO,Classic,2014,2010s
Magic!,Rude,2014,2010s
Kongos,Come with Me Now,2014,2010s
Disclosure,Latch,2014,2010s
OG Maco,U Guessed It,2014,2010s
Bobby Shmurda,Hot Nigga,2014,2010s
ILoveMakonnen,Tuesday,2014,2010s
Mr. Probz,Waves (Robin Schulz Remix),2014,2010s
Milky Chance,Stolen Dance,2015,2010s
Vance Joy,Riptide,2015,2010s
O.T. Genasis,CoCo,2015,2010s
Lilly Wood and the Prick,Prayer In C (Robin Schulz Remix),2015,2010s
T-Wayne,Nasty Freestyle,2015,2010s
Walk the Moon,Shut Up and Dance,2015,2010s
George Ezra,Budapest,2015,2010s
Silentó,Watch Me (Whip/Nae Nae),2015,2010s
OMI,Cheerleader (Felix Jaehn remix),2015,2010s
Rachel Platten,Fight Song,2015,2010s
Jidenna ft. Roman GianArthur,Classic Man,2015,2010s
R. City,Locked Away,2015,2010s
ILoveMemphis,Hit the Quan,2015,2010s
Elle King,Ex's & Oh's,2015,2010s
Cam,Burning House,2016,2010s
DNCE,Cake by the Ocean,2016,2010s
Lukas Graham,7 Years,2016,2010s
Desiigner,Panda,2016,2010s
MNEK,Never Forget You,2016,2010s
Kent Jones,Don't Mind,2016,2010s
Kiiara,Gold,2016,2010s
Kungs vs. Cookin' on 3 Burners,This Girl,2016,2010s
Gnash featuring Olivia O'Brien,"I Hate U, I Love U",2016,2010s
DRAM,Broccoli,2016,2010s
Young M.A,OOOUUU,2016,2010s
Rob Stone ft. J. Davis and Spooks,Chill Bill,2016,2010s
Zay Hilfigerrr & Zayion McCall,Juju on That Beat,2017,2010s
Kyle,iSpy,2017,2010s
Luis Fonsi,Despacito,2017,2010s
Ayo & Teo,Rolex,2017,2010s
Portugal. The Man,Feel It Still,2017,2010s
BlocBoy JB,Look Alive,2018,2010s
Sheck Wes,Mo Bamba,2018,2010s
Blueface,Thotiana,2019,2010s
Pinkfong,Baby Shark,2019,2010s
Arizona Zervas,Roxanne,2019,2010s
Tones and I,Dance Monkey,2020,2020s
Curtis Waters,Stunnin',2020,2020s
24kGoldn,Mood,2020,2020s
Masked Wolf,Astronaut in the Ocean,2021,2020s
Gayle,ABCDEFU,2022,2020s
Oliver Anthony,Rich Men North of Richmond,2023,2020s
